"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Palliduphantes brignolii" "Linyphiidae" "Palliduphantes" "brignolii" "Palliduphantes brignolii" "urn:lsid:nmbe.ch:spidersp:011115" "Kratochvi­l" 1978 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSSAR 3452 female" "Brignoli, P. M. (1980c). Secondo contributo alla conoscenza dei ragni cavernicoli della Jugoslavia (Araneae). Revue Suisse de Zoologie 87: 188." "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 2.172 2.29 2.28 2.28 2.29 2.28 0.996 2.285 0.885 0.8 0.843 0.693 0.65 0.672 1.255 0.401 NA NA NA 1.1 1.1 1.1 0.481 1 1.12 1.06 0.464 0.234 NA NA 0.171 NA 0.171 0.05 "Present" 0.07 0.067 0.055 0.354 0.06 0.056 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes byzantinus" "Linyphiidae" "Palliduphantes" "byzantinus" "Palliduphantes byzantinus" "urn:lsid:nmbe.ch:spidersp:011117" "Fage" 1931 1 "Italy, Romania, Bulgaria, North Macedonia, Greece, Turkey" "Croatian Biospeleological Society collection: measured samples CBSSAR 3056 female & 3114 male" "Fage, L. (1931). Araneae, 5e série, précédée d'un essai sur l'évolution souterraine et son déterminisme. In: Biospeologica, LV. Archives de Zoologie Expérimentale et Générale 71: 186. ; Deltshev, C. D. (1980). A contribution to the taxonomical study of pallidus group of genus Lepthyphantes Menge (Araneae, Linyphiidae) in Bulgaria. Acta Zoologica Bulgarica 16: 44." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 2.37 2.5 1.67 2.01 2.435 1.84 0.756 2.138 0.844 0.737 NA 0.772 0.657 0.714 NA 0.306 0.386 NA NA 1.37 1.19 1.28 0.599 1.37 1.28 1.325 0.62 0.207 0.208 NA 0.134 0.15 0.142 0.049 "Present" 0.057 0.056 0.056 0.384 0.024 0.03 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes carusoi" "Linyphiidae" "Palliduphantes" "carusoi" "Palliduphantes carusoi" "urn:lsid:nmbe.ch:spidersp:011120" "Brignoli" 1979 1 "Italy (Sicily)" "-" "Brignoli, P. M. (1979e). Ragni d'Italia XXXII. Specie cavernicole di Sicilia (Araneae). Animalia 5: 277." "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 0 2.36 2.36 1.97 1.97 2.36 1.97 0.835 2.165 1.2 1.2 1.2 0.82 0.72 0.77 1.558 NA NA NA NA 1.38 1.52 1.45 0.67 1.4 1.48 1.44 0.665 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes constantinescui" "Linyphiidae" "Palliduphantes" "constantinescui" "Palliduphantes constantinescui" "urn:lsid:nmbe.ch:spidersp:011133" "Georgescu" 1989 1 "Romania" "-" "Georgescu, M. (1989). Sur trois taxa nouveaux d'aranéides troglobies de Dobrogea (Roumanie). Miscellanea Speologica Romanica 1: 91." "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Wall" "Depigmented" 1 0 0 1.75 1.75 1.475 1.475 1.75 1.475 0.843 1.613 0.88 0.845 0.863 0.625 0.575 0.6 1.438 NA NA NA NA 1.55 1.375 1.463 0.907 1.525 1.35 1.438 0.891 NA NA NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes garganicus" "Linyphiidae" "Palliduphantes" "garganicus" "Palliduphantes garganicus" "urn:lsid:nmbe.ch:spidersp:011169" "Caporiacco" 1951 1 "Italy, France" "-" "Brignoli, P. M. (1971d). Note su ragni cavernicoli italiani (Araneae). Fragmenta Entomologica 7: 156. ; Caporiacco, L. di (1951b). Aracnidi cavernicoli pugliesi. Memorie di Biogeografia Adriatica 2: 99." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 2.2 2.47 NA NA 2.335 NA NA 2.335 0.8 0.49 0.645 0.7 NA 0.7 0.921 NA NA NA NA 1.26 NA 1.26 0.54 1.26 NA 1.26 0.54 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes istrianus" "Linyphiidae" "Palliduphantes" "istrianus" "Palliduphantes istrianus" "urn:lsid:nmbe.ch:spidersp:011191" "Kulczynski" 1914 1 "Italy, Balkans, Greece, Ukraine" "Croatian Biospeleological Society collection: measured samples CBSSAR 6986 male & female" "Dumitrescu, M. & Georgescu, M. (1981). Contribution à la connaissance des espèces cavernicoles du genre Lepthyphantes des grottes 17." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Partly" 0 0 0 1.8 1.85 1.7 1.75 1.825 1.725 0.945 1.775 0.982 1.01 0.996 0.664 0.698 0.681 1.463 0.361 0.286 NA NA 1.05 1.125 1.088 0.613 1.125 1.25 1.188 0.669 0.225 0.211 NA 0.158 0.151 0.155 0.049 "Present" 0.063 0.063 0.045 0.356 0.049 0.05 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes khobarum" "Linyphiidae" "Palliduphantes" "khobarum" "Palliduphantes khobarum" "urn:lsid:nmbe.ch:spidersp:011199" "Charitonov" 1947 1 "Greece, Turkey, Ukraine, Caucasus (Russia, Georgia, Azerbaijan)" "-" "Tanasevitch, A. V. (1987a). The linyphiid spiders of the Caucasus, USSR (Arachnida: Araneae: Linyphiidae). Senckenbergiana Biologica 67: 312." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 2.3 2.3 1.75 1.75 2.3 1.75 0.761 2.025 1 0.93 0.965 0.68 0.68 0.68 1.419 NA NA NA NA 1.1 1 1.05 0.519 1.13 0.95 1.04 0.514 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes liguricus" "Linyphiidae" "Palliduphantes" "liguricus" "Palliduphantes liguricus" "urn:lsid:nmbe.ch:spidersp:011216" "Simon" 1929 1 "France, Italy, Hungary" "-" "Brignoli, P. M. (1979o). Ragni d'Italia XXXI. Specie cavernicole nuove o interessanti (Araneae). Quaderni del Museo di Speleologia \"V. Rivera\" 5(10): 18." "no" "Troglophile" "Sheet" 1 1 1 1 0 "Soil + Wall" "Depigmented" NA NA 1 NA NA NA NA NA NA NA NA 0.95 1.05 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes lorifer" "Linyphiidae" "Palliduphantes" "lorifer" "Palliduphantes lorifer" "urn:lsid:nmbe.ch:spidersp:011223" "Simon" 1907 1 "Spain" "-" "Fage, L. (1931). Araneae, 5e série, précédée d'un essai sur l'évolution souterraine et son déterminisme. In: Biospeologica, LV. Archives de Zoologie Expérimentale et Générale 71:182. ; Simon, E. (1907a). Biospéologica III. Araneae, Chernetes et Opiliones (première série). Archives de Zoologie Expérimentale et Générale (4) 6: 542." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 NA NA 2.5 2.5 NA 2.5 NA 2.5 1.4 1.17 1.285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes pallidus" "Linyphiidae" "Palliduphantes" "pallidus" "Palliduphantes pallidus" "urn:lsid:nmbe.ch:spidersp:011270" "O. Pickard-Cambridge" 1871 1 "Europe" "-" "Dumitrescu, M. & Georgescu, M. (1981). Contribution à la connaissance des espèces cavernicoles du genre Lepthyphantes des grottes de Roumania, 1re note. Travaux de l’Institut de Spéologie “Émile Racovitza” 20: 14. ; Loksa, I. (1970). Die Spinnen der \"Kölyuk\"-Höhlen im Bükkgebirge (Biospeologica Hungarica XXXIII). Annales Universitatis Scientiarum Budapestinensis (Sect. Biol.) 12: 272. ; Roberts, M. J. (1987). The spiders of Great ;  Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England : 152." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 1.6 2.3 1.6 2 1.95 1.8 0.923 1.875 1.32 1.28 1.3 0.7 0.625 0.663 1.962 NA NA NA NA NA 1.14 1.14 0.608 NA 1.06 1.06 0.565 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 1
"Palliduphantes salfii" "Linyphiidae" "Palliduphantes" "salfii" "Palliduphantes salfii" "urn:lsid:nmbe.ch:spidersp:011294" "Dresco" 1949 1 "Italy" "-" "Dresco, E. (1949). Note sur les araignées de quelques grottes de l'Italie méridionale et description d'une espèce nouvelle. Bollettino della Società dei Naturalisti in Napoli 58(Suppl. 11): 4." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 1.6 2.3 1.6 2.3 1.95 1.95 1 1.95 0.925 0.925 0.925 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes spelaeorum" "Linyphiidae" "Palliduphantes" "spelaeorum" "Palliduphantes spelaeorum" "urn:lsid:nmbe.ch:spidersp:011309" "Kulczynski" 1914 1 "Balkans, Greece" "Croatian Biospeleological Society collection: measured samples CBSSAR 6699 female & 6904 male" "Deltshev, C. D. (1980). A contribution to the taxonomical study of pallidus group of genus Lepthyphantes Menge (Araneae, Linyphiidae) in Bulgaria. Acta Zoologica Bulgarica 16: 48. ; Kulczyński, W. (1914). Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 360." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 0 0 2.19 2.345 1.955 2.01 2 1.983 0.991 2 0.711 0.845 0.778 0.677 0.81 0.744 1.046 0.308 0.233 NA NA 1.19 1.05 1.12 0.56 1.205 1.11 1.158 0.579 0.214 0.201 NA 0.133 0.143 0.138 0.057 "Present" 0.07 0.06 0.067 0.462 0.038 0.032 1 0 0 0 1 1 0 0 0 0 0
"Palliduphantes trnovensis" "Linyphiidae" "Palliduphantes" "trnovensis" "Palliduphantes trnovensis" "urn:lsid:nmbe.ch:spidersp:011324" "Drensky" 1931 1 "Serbia, Montenegro, North Macedonia, Bulgaria" "-" "Deltshev, C. D. (1980). A contribution to the taxonomical study of pallidus group of genus Lepthyphantes Menge (Araneae, Linyphiidae) in Bulgaria. Acta Zoologica Bulgarica 16: 50." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 NA 2.19 NA 2.19 2.19 2.19 1 2.19 1.058 1.058 1.058 0.73 0.82 0.775 1.366 NA NA NA NA 1.19 1.19 1.19 0.543 1.19 1.19 1.19 0.543 NA NA NA 0.1 0.12 0.11 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Paraleptoneta spinimana" "Leptonetidae" "Paraleptoneta" "spinimana" "Paraleptoneta spinimana" "urn:lsid:nmbe.ch:spidersp:003081" "Simon" 1884 1 "Algeria, Italy" "-" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522,; Esnault, M, (2020), Découverte de Paraleptoneta spinimana (Simon, 1884) (Araneae, Leptonetidae), espèce nouvelle pour la faune der de France, Revue Arachnologique (2) 7: 27-31; Fage, L, (1913), Biospelogica XXIX, Études sur les araignées cavernicoles II, Revision des Leptonetidae, Archives de Zoologie Expérimentale et Générale (5) 10(9): 479-576, pl, 43-53" "no" "Troglophile" "Space" 0 1 0 1 0 "Soil" "Depigmented" 0 1 1 1.5 2.7 1.7 1.75 2.1 1.725 0.821 2 NA 0.66 0.66 NA 0.6 0.6 1.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 "Absent_Ontology" 0.04 0.04 0.04 NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Parastalita stygia" "Dysderidae" "Parastalita" "stygia" "Parastalita stygia" "urn:lsid:nmbe.ch:spidersp:004780" "Joseph" 1882 1 "Bosnia and Herzegovina" "Croatian Biospeleological Society collection: Measured samples CBSS AR7008 female & 5714, 1749 & 1731 males" "Chyzer, C. & Kulczyński, W. (1897). Araneae Hungariae. Tomus II. Academia Scientarum Hungaricae, Budapest, pp. 147-366, Pl. VI-X; Fage, L. (1931). Araneae, 5e série, précédée d'un essai sur l'évolution souterraine et son déterminisme. In: Biospeologica, LV. Archives de Zoologie Expérimentale et Générale 71: 91-291. ; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62.; Deeleman-Reinhold, C. L. (1971b). Beitrag zur Kenntnis höhlenbewohnender Dysderidae (Araneida) aus Jugoslawien. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis 14: 95-120.; Pavlek, M. & Mammola, S. (2020). Niche-based processes explaining the distributions of closely related subterranean spiders. Journal of Biogeography." "yes" "Troglobiont" "Specialist" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 5.5 6.9 7 7 6.2 7 1.129 6.25 3.7 3.4 3.55 2.45 2.33 2.39 1.485 NA NA NA NA 5 5.45 5.225 0.836 4.3 4.5 4.4 0.704 1.27 1.31 1.29 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
"Pholcus opilionoides" "Pholcidae" "Pholcus" "opilionoides" "Pholcus opilionoides" "urn:lsid:nmbe.ch:spidersp:003739" "Schrank" 1781 1 "Europe, Caucasus, Egypt, Iran, USA" "Bernhard Huber collection" "Huber 2011, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 3.7 4.8 3.5 5 4.25 4.25 1 4.25 1 1 1 1.2 1.2 1.2 0.833 0.9 0.9 0.9 0.9 5.7 6.3 6 1.412 5.8 6.4 6.1 1.435 0.14 0.14 0.14 0.5 0.6 0.55 0.055 "Present" 0.125 0.095 0.115 0.177 0.045 0.03 1 0 0 0 1 1 0 0 0 0 1
"Pholcus phalangioides" "Pholcidae" "Pholcus" "phalangioides" "Pholcus phalangioides" "urn:lsid:nmbe.ch:spidersp:003744" "Fuesslin" 1775 1 "Cosmopolitan" "Bernhard Huber collection" "Huber 2011, new" "yes" "Troglophile" "Sheet" 0 1 NA 1 0 "Wall" "Fully" 0 0 1 5.3 8.3 5.5 8 6.8 6.75 0.993 6.775 1.8 1.8 1.8 2.1 2.1 2.1 0.857 1.4 1.4 1.4 0.778 10.2 10.3 10.25 1.513 10.6 10.6 10.6 1.565 0.22 0.22 0.22 0.9 0.9 0.9 0.085 "Present" 0.195 0.16 0.18 0.172 0.095 0.025 1 0 0 0 1 1 0 0 0 0 1
"Pimoa breuili" "Pimoidae" "Pimoa" "breuili" "Pimoa breuili" "urn:lsid:nmbe.ch:spidersp:009288" "Fage" 1931 1 "Spain" "-" "Hormiga (1994)" "yes" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 1 NA NA NA NA 8.5 7.1 0.835 7.8 4.5 3.5 4 3 2.7 2.85 1.404 2.1 2 2.05 0.513 9.4 11.2 10.3 1.321 9.7 12 10.85 1.391 NA NA NA 0.57 0.44 0.505 0.22 "Present" 0.22 1 1 1.208 0.22 1 1 0 0 0 1 0 0 0 0 0 0
"Pimoa graphitica" "Pimoidae" "Pimoa" "graphitica" "Pimoa graphitica" "urn:lsid:nmbe.ch:spidersp:048947" "Mammola, Hormiga & Isaia" 2016 0 "Italy, France" "Marco Isaia collection" "Mammola et al, (2016)" "yes" "Troglophile" "Sheet" 0 1 1 1 0 "Soil + Wall" "Fully" 0 0 1 NA NA NA NA 8.59 7.18 0.836 7.885 3.75 3.43 3.59 2.65 2.81 2.73 1.315 2.43 2.87 2.65 0.738 7.69 9.69 8.69 1.102 7.75 9.69 8.72 1.106 NA NA NA 0.39 0.49 0.44 0.15 "Present" 0.15 1 1 1.307 0.15 1.2 1 0 0 0 1 0 0 0 0 0 1
"Pimoa rupicola" "Pimoidae" "Pimoa" "rupicola" "Pimoa rupicola" "urn:lsid:nmbe.ch:spidersp:009305" "Simon" 1884 1 "France, Italy" "-" "Hormiga (1994)" "no" "Troglophile" "Sheet" 0 1 1 1 0 "Soil + Wall" "Fully" 0 0 0 NA NA NA NA 7 5.2 0.743 6.1 2.2 2.7 2.45 2.4 2.1 2.25 1.089 2 1.6 1.8 0.735 5.3 6.7 6 0.984 5.5 NA 5.5 0.902 NA NA NA 0.42 0.3 0.36 0.16 "Present" 0.16 1 1 1.611 0.12 1 1 0 0 0 1 0 0 0 0 0 1
"Porrhomma convexum" "Linyphiidae" "Porrhomma" "convexum" "Porrhomma convexum" "urn:lsid:nmbe.ch:spidersp:012405" "Westring" 1851 1 "USA, Canada, Greenland, Europe, Caucasus, Russia (Europe, West Siberia), Kazakhstan" "Croatian Biospeleological Society collection: measured samples CBSSAR 2935 female & 4452 male" "Bourne, J. D. (1977b). Contribution à l'étude du genre Porrhomma (Araneae, Linyphiidae). Caractères morphologiques, biométrie et écologie au niveau des populations de P. convexum (Westring) et P. myops (Simon). Mitteilungen der Schweizerischen Entomologischen Gesellschaft 50: 153. ; Chamberlin, R. V. & Ivie, W. (1943). New genera and species of North American linyphiid spiders. Bulletin of the University of Utah 33(10): 4. ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 114." "yes" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 0 2.25 3.2 2.2 3.2 2.725 2.7 0.991 2.713 1.079 1.211 1.145 0.7615 0.892 0.827 1.385 0.332 0.509 NA NA 0.985 1.02 1.003 0.37 1.16 1.13 1.145 0.422 0.33 0.35 NA 0.163 0.221 0.192 0.3 "Present" 0.061 0.06 0.061 0.626 0.078 0.071 1 0 0 0 1 1 0 0 0 0 1
"Porrhomma egeria" "Linyphiidae" "Porrhomma" "egeria" "Porrhomma egeria" "urn:lsid:nmbe.ch:spidersp:012407" "Simon " 1884 0 "Europe" "Croatian Biospeleological Society collection: measured samples CBSSAR 2330 female & 493 male - both samples with very reduced eyes" "Bourne, J. D. (1977a). A contribution to the study of the genus Porrhomma (Araneae: Linyphiidae). Notes on a population of P. egeria (Simon) and other cavernicolous species. International Journal of Speleology 9: 89. ; Locket, G. H. & Millidge, A. F. (1953). British spiders. Vol. II. Ray Society, London, p. 334 . ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 114." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 1 0 2.3 2.5 2 2.5 2.4 2.25 0.938 2.325 0.988 0.932 0.96 0.7695 0.702 0.736 1.305 0.387 0.191 NA NA 0.975 0.92 0.948 0.408 NA NA NA NA 0.275 0.233 NA NA NA NA NA "Present" 0.032 NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Porrhomma microps" "Linyphiidae" "Porrhomma" "microps" "Porrhomma microps" "urn:lsid:nmbe.ch:spidersp:012418" "Roewer" 1931 1 "Europe" "Croatian Biospeleological Society collection: measured samples CBSSAR 1839 female & 7076 male" "Bianchi, C., Caporiacco, L. di, Massera, M. G. & Valle, A. (1949). Raccolte faunistiche della grotta della Spipola (Bologna). Commentationes Pontificia Academia Scientiarum 213: 500. ; Růžička, V. (2009). The European species of the microphthalmum-group in the genus Porrhomma (Araneae: Linyphiidae). Contributions to Natural History 12: 1089. ; Růžička, V. (2018). A review of the spider genus Porrhomma (Araneae, Linyphiidae). Zootaxa 4481(1): 39. " "no" "Troglophile" "Sheet" 0 1 1 1 0 "Soil + Wall" "Partly" 0 1 0 2.3 3 2.4 2.6 2.65 2.5 0.943 2.575 1.222 1.198 1.21 0.775 0.844 0.809 1.495 0.54 0.511 0.525 0.434 1.06 1.12 1.09 0.423 1.12 1.09 1.105 0.429 0.278 0.337 NA 0.176 0.24 0.208 0.029 "Present" 0.044 0.031 0.04 0.173 0.088 0.101 1 0 0 0 1 1 0 0 0 0 0
"Porrhomma profundum" "Linyphiidae" "Porrhomma" "profundum" "Porrhomma profundum" "urn:lsid:nmbe.ch:spidersp:012427" "M. Dahl" 1939 0 "Germany, Czechia, Slovakia, Hungary, Romania, Serbia, Bulgaria" "-" "Loksa, I. (1970). Die Spinnen der \"Kölyuk\"-Höhlen im Bükkgebirge (Biospeologica Hungarica XXXIII). Annales Universitatis Scientiarum Budapestinensis (Sect. Biol.) 12: 269. ; Miller, F. & Kratochvíl, J. (1940a). Ein Beitrag zur Revision der mitteleuropischen Spinnenarten der Gattung Porrhomma Simon. Zoologischer Anzeiger 130: 176. ; Růžička, V. (2018). A review of the spider genus Porrhomma (Araneae, Linyphiidae). Zootaxa 4481(1): 52." "no" "Troglobiont" "Sheet" 1 0 1 0 0 "Soil + Wall" "Depigmented" 0 1 0 NA 2.8 2.54 NA 2.8 2.54 0.907 2.67 1.32 1.28 1.3 NA 0.92 0.92 1.413 NA NA NA NA NA 1.03 1.03 0.386 NA 0.96 0.96 0.36 NA NA NA NA NA NA 0.038 "Present" 0.03 0.038 0.047 NA 0.047 NA 1 0 0 0 1 1 0 0 0 0 0
"Porrhomma rosenhaueri" "Linyphiidae" "Porrhomma" "rosenhaueri" "Porrhomma rosenhaueri" "urn:lsid:nmbe.ch:spidersp:012430" "L. Koch" 1872 1 "Western, Southern and Central Europe, Russia (Altai)" "-" "Bourne, J. D. (1977b). Contribution à l'étude du genre Porrhomma (Araneae, Linyphiidae). Caractères morphologiques, biométrie et écologie au niveau des populations de P. convexum (Westring) et P. myops (Simon). Mitteilungen der Schweizerischen Entomologischen Gesellschaft 50: 154. ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 114." "no" "Troglobiont" "Sheet" 1 1 1 0 0 "Soil + Wall" "Depigmented" 0 1 0 2 2.3 2 2.1 2.15 2.05 0.953 2.1 0.925 0.925 0.925 0.635 0.67 0.653 1.418 NA NA NA NA 1.09 0.975 1.033 0.492 0.97 NA 0.97 0.462 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Protoleptoneta baccettii" "Leptonetidae" "Protoleptoneta" "baccettii" "Protoleptoneta baccettii" "urn:lsid:nmbe.ch:spidersp:002973" "Brignoli" 1979 1 "Italy" "-" "Brignoli, P, M, (1979o), Ragni d'Italia XXXI, Specie cavernicole nuove o interessanti (Araneae), Quaderni del Museo di Speleologia \"V, Rivera\" 5(10): 1-48; Gasparo, F, (2005c), Descrizione del maschio e nuova attribuzione generica di Leptoneta baccettii (Araneae, Leptonetidae), Bollettino della Società Entomologica Italiana 137: 159-166,; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 1 NA 2.1 NA 1.9 2.1 1.9 0.905 2 0.95 0.84 0.895 0.7 0.71 0.705 1.27 NA NA NA NA 2.7 2.2 2.45 1.225 2.9 2.5 2.7 1.35 0.44 NA 0.44 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"Protoleptoneta bulgarica" "Leptonetidae" "Protoleptoneta" "bulgarica" "Protoleptoneta bulgarica" "urn:lsid:nmbe.ch:spidersp:003083" "Deltshev" 1972 0 "Bulgaria" "-" "Deltshev, C, (1972a), A new genus of Bulgarian cave spiders (Protoleptoneta bulgarica n,g,, n, sp,), International Journal of Speleology 4: 275-283" "no" "Troglophile" "Space" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 NA 2.1 NA 2.01 2.1 2.01 0.957 2.05 0.73 0.82 0.775 0.56 0.73 0.645 1.202 NA NA NA NA NA 1.48 1.48 0.722 NA NA NA NA 0.56 0.56 0.56 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Pseudomaro aenigmaticus" "Linyphiidae" "Pseudomaro" "aenigmaticus" "Pseudomaro aenigmaticus" "urn:lsid:nmbe.ch:spidersp:012466" "Denis" 1966 0 "Europe" "-" "Brignoli, P. M. (1971d). Note su ragni cavernicoli italiani (Araneae). Fragmenta Entomologica 7: 159. ; Roberts, M. J. (1987). The spiders of Great Britain and Ireland, Volume 2: Linyphiidae and check list. Harley Books, Colchester, England, p. 112. ; Šestáková, A., Mock, A., Christophoryová, J. & Gajdoš, P. (2018). Two subterranean-dwelling spiders new to Slovakia (Araneae: Linyphiidae). Arachnologische Mitteilungen 55: 27." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 1 0 1.2 1.67 1.79 1.79 1.435 1.79 1.247 1.613 0.7 0.82 0.76 0.5 0.62 0.56 1.357 NA NA NA NA 0.75 NA 0.75 0.465 0.7 NA 0.7 0.434 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Psilochorus simoni" "Pholcidae" "Psilochorus" "simoni" "Psilochorus simoni" "urn:lsid:nmbe.ch:spidersp:003853" "Berland" 1911 1 "USA. Introduced to Europe, Turkey, Iran, New Zealand" "Bernhard Huber collection" "new" "yes" "Troglophile" "Sheet" 0 1 NA 1 1 "Soil" "Fully" 0 0 1 2.1 2.5 2 2.4 2.3 2.2 0.957 2.25 0.8 0.7 0.75 0.9 0.9 0.9 0.833 0.6 0.6 0.6 0.8 3.3 3.3 3.3 1.467 3.4 3.4 3.4 1.511 0.11 0.12 0.115 0.4 0.4 0.4 0.03 "Present" 0.08 0.07 0.075 0.159 0.015 0.01 1 0 0 0 1 1 0 0 0 0 1
